"","age","edu","inc","car","acc"
"99",20,"High School",47323.4866642128,"Standard",0
"100",23,"College",90540.5139339711,"Truck",0
"101",40,"High School",104159.068271372,"Truck",0
"102",43,"College",113426.437030088,"Truck",0
"103",24,"College",105112.176045105,"Standard",0
"104",20,"College",72266.8974095896,"Standard",1
"105",19,"College",70398.4006609404,"Standard",0
"106",19,"College",49256.9222771132,"Standard",0
"107",21,"College",69630.5633917141,"Standard",0
"108",22,"High School",79988.3460597845,"Truck",0
"109",32,"College",105385.711713697,"Luxury",0
"110",22,"College",79286.3709414243,"Standard",0
"111",32,"College",119839.169739686,"Luxury",0
"112",29,"College",106166.041477967,"Luxury",0
"113",18,"College",56931.8341389416,"Truck",0
"114",19,"College",74412.1090765272,"Standard",0
"115",22,"College",80171.0338003618,"Truck",0
"116",19,"High School",61916.8245175285,"Truck",0
"117",23,"College",86436.1846687659,"Truck",0
"118",26,"College",101764.032974895,"Standard",0
"119",23,"High School",76376.6628041808,"Standard",0
"120",21,"High School",67127.2775999432,"Truck",0
"121",19,"High School",49238.6219309409,"Truck",0
"122",18,"High School",44240.5849479277,"Standard",0
"123",25,"College",95224.8220094401,"Standard",0
"124",19,"College",68160.5540421618,"Standard",0
"125",19,"College",69579.9267491288,"Standard",0
"126",28,"High School",75586.1311171675,"Truck",0
"127",18,"High School",52304.8192404971,"Standard",0
"128",32,"College",89605.3127329979,"Luxury",0
"129",22,"College",105893.286901394,"Truck",0
"130",19,"College",51167.1524959015,"Standard",0
"131",22,"College",70673.7209618224,"Standard",0
"132",27,"High School",93613.0553143827,"Standard",0
"133",32,"College",116011.620922653,"Truck",0
"134",21,"College",82913.9227979347,"Truck",0
"135",28,"High School",74633.0473871551,"Standard",0
"136",26,"College",97482.0852596243,"Standard",0
"137",18,"High School",43109.2749404851,"Truck",1
"138",43,"College",115465.802750417,"Truck",0
"139",23,"College",101720.611707919,"Truck",0
"140",39,"College",126383.736841462,"Luxury",0
"141",23,"High School",61882.3336841604,"Truck",0
"142",27,"High School",82566.1813612037,"Standard",0
"143",21,"High School",55476.1572643085,"Truck",0
"144",34,"College",117579.935935501,"Luxury",0
"145",19,"College",60307.9710777572,"Standard",0
"146",18,"College",47279.9529706447,"Standard",0
"147",27,"College",103088.537663956,"Luxury",0
"148",26,"High School",82570.1041457452,"Truck",0
"149",20,"College",84562.6234221482,"Standard",0
"150",33,"High School",97870.3560537423,"Standard",0
"151",20,"High School",50411.5527686975,"Truck",0
"152",30,"High School",82267.6043425211,"Standard",0
"153",19,"College",55217.7725157463,"Truck",0
"154",26,"College",104892.830566685,"Luxury",1
"155",19,"High School",66350.4776138905,"Standard",0
"156",18,"College",29918.4356584945,"Standard",0
"157",19,"College",67129.3421460008,"Standard",0
"158",18,"College",54067.9696810535,"Standard",0
"159",23,"College",114820.866325925,"Luxury",0
"160",20,"College",77534.3989193021,"Truck",0
"161",23,"High School",61430.1062047997,"Standard",0
"162",22,"High School",50945.8397820303,"Standard",1
"163",32,"College",124400.041741329,"Truck",0
"164",29,"College",104163.21530391,"Luxury",0
"165",21,"High School",54402.7070938949,"Truck",0
"166",27,"High School",87175.531943306,"Luxury",0
"167",20,"College",64918.6097409058,"Standard",0
"168",18,"College",65393.637041793,"Truck",1
"169",33,"High School",82455.4683193114,"Standard",0
"170",48,"High School",94525.4362534791,"Standard",0
"171",31,"College",110354.083774347,"Truck",0
"172",25,"High School",72227.4307040345,"Truck",1
"173",18,"High School",38936.9063735683,"Standard",0
"174",32,"High School",84874.0948441455,"Standard",0
"175",31,"High School",99610.1325943185,"Truck",0
"176",20,"College",72074.420400169,"Standard",1
"177",24,"College",78967.3122231661,"Standard",0
"178",19,"College",68299.0630396278,"Standard",0
"179",37,"College",127083.447321363,"Truck",0
"180",22,"College",90445.8088439619,"Truck",0
"181",19,"High School",59463.3914145599,"Standard",0
"182",22,"College",83437.7527080064,"Standard",0
"183",24,"High School",90293.0316433446,"Standard",0
"184",18,"High School",33670.9205971012,"Truck",0
"185",31,"College",116303.007216455,"Truck",0
"186",20,"High School",59210.6526169396,"Truck",0
"187",28,"College",112778.36440004,"Standard",0
"188",20,"College",74199.2689170319,"Standard",0
"189",19,"College",84669.6507633389,"Standard",0
"190",26,"High School",72608.7046101236,"Truck",0
"191",34,"College",108920.67424299,"Luxury",0
"192",23,"High School",52725.4522592844,"Standard",0
"193",28,"College",105181.789335938,"Standard",0
"194",22,"College",83206.808945918,"Luxury",0
"195",18,"College",53023.2925910016,"Standard",0
"196",18,"College",61001.4406453482,"Truck",0
"197",29,"College",105065.562109243,"Standard",0
"198",30,"High School",93439.5816578244,"Standard",0
"199",22,"College",80555.7819924513,"Luxury",0
"200",19,"College",68300.85475053,"Truck",0
"201",21,"College",78764.662252418,"Standard",0
"202",29,"College",96634.9364195008,"Standard",0
"203",19,"High School",42004.4390647298,"Truck",0
"204",23,"High School",79071.4959649564,"Standard",0
"205",51,"College",132730.231212453,"Truck",0
"206",19,"College",64267.013764232,"Truck",0
"207",21,"High School",68142.1811142307,"Standard",0
"208",20,"College",91494.1374890198,"Standard",0
"209",33,"High School",88948.8082204569,"Truck",0
"210",19,"High School",54448.4742666064,"Standard",0
"211",28,"College",98833.1693412279,"Truck",0
"212",20,"College",65418.7914172273,"Standard",0
"213",19,"College",75440.4378868976,"Standard",0
"214",20,"College",67405.8890182912,"Standard",0
"215",19,"College",51813.7511136479,"Standard",0
"216",26,"College",105085.268398,"Luxury",0
"217",25,"College",103203.545948139,"Luxury",0
"218",21,"College",97356.7849416973,"Standard",0
"219",19,"High School",52784.8298087361,"Truck",0
"220",27,"College",102808.771752977,"Standard",0
"221",26,"High School",77223.340789944,"Standard",0
"222",36,"College",122242.017911606,"Luxury",0
"223",20,"High School",61062.3007417603,"Truck",0
"224",18,"College",41867.1079923866,"Truck",0
"225",25,"College",107827.064719462,"Luxury",0
"226",22,"College",84922.7611801965,"Luxury",0
"227",22,"College",93512.1891195067,"Standard",0
"228",19,"High School",57554.0670285897,"Standard",1
"229",18,"College",44842.7283955528,"Truck",0
"230",25,"High School",58654.2115621401,"Standard",0
"231",41,"College",147701.691041339,"Standard",0
"232",24,"College",99120.434434374,"Standard",0
"233",29,"High School",74556.08436748,"Standard",0
"234",35,"High School",103958.323577475,"Truck",0
"235",30,"High School",79213.5868156707,"Standard",0
"236",35,"High School",90929.9996188836,"Truck",0
"237",20,"High School",28804.904045411,"Truck",1
"238",25,"High School",78268.1376373576,"Truck",0
"239",21,"College",76186.4186950695,"Standard",0
"240",19,"High School",53556.6722487885,"Standard",0
"241",24,"High School",86218.7909751592,"Luxury",0
"242",25,"High School",72727.4906872763,"Truck",0
"243",29,"College",103824.375047458,"Luxury",0
"244",18,"College",50489.2049529813,"Standard",0
"245",28,"College",107373.839314245,"Truck",0
"246",25,"College",95014.5469366853,"Standard",0
"247",18,"College",48930.9055565546,"Standard",0
"248",25,"College",105243.131952899,"Standard",0
"249",20,"College",59949.8675042342,"Standard",0
"250",18,"College",51039.9895555773,"Truck",0
"251",18,"High School",37710.9250562266,"Truck",0
"252",23,"College",74808.3041378102,"Standard",0
"253",23,"College",91611.4110772604,"Standard",0
"254",18,"College",41049.1543368984,"Standard",0
"255",19,"College",73589.4156622316,"Standard",0
"256",29,"College",97952.9525938706,"Truck",0
"257",25,"College",102627.841689607,"Luxury",0
"258",22,"High School",76352.3358403944,"Standard",0
"259",30,"High School",80930.6070090617,"Standard",0
"260",21,"College",81170.2779531204,"Truck",1
"261",26,"College",101539.863287883,"Truck",0
"262",34,"College",123366.78308711,"Truck",0
"263",19,"College",81201.9804612474,"Truck",0
"264",20,"College",63242.5508702789,"Truck",0
"265",25,"High School",74997.5501973147,"Truck",0
"266",21,"High School",72499.9272267073,"Truck",0
"267",20,"College",76416.5509837307,"Truck",0
"268",44,"College",120093.289530167,"Luxury",0
"269",22,"College",71305.1803228436,"Truck",0
"270",19,"College",70715.7489480006,"Standard",0
"271",22,"College",81153.2863812821,"Standard",0
"272",23,"High School",64718.426841188,"Truck",0
"273",18,"College",48896.920461631,"Standard",0
"274",26,"High School",75591.5865398214,"Truck",0
"275",35,"High School",80222.0322122399,"Truck",0
"276",49,"College",139602.904247037,"Luxury",0
"277",49,"High School",100658.41918111,"Truck",0
"278",19,"College",60028.570576755,"Truck",0
"279",21,"College",59507.6276028854,"Truck",0
"280",36,"College",126785.197210006,"Standard",0
"281",30,"High School",83560.5054118689,"Standard",0
"282",30,"College",116114.027506807,"Luxury",0
"283",19,"High School",51384.9458305577,"Standard",0
"284",20,"College",66798.1672084673,"Standard",0
"285",22,"College",79506.0526657555,"Truck",0
"286",21,"College",72225.9266345819,"Truck",0
"287",19,"High School",33405.165781276,"Standard",0
"288",32,"College",108442.246848036,"Truck",0
"289",18,"College",42686.6133841535,"Truck",0
"290",27,"College",116076.345821739,"Standard",0
"291",27,"College",90983.4268617717,"Standard",0
"292",23,"College",95449.4671290698,"Standard",0
"293",20,"College",78989.0259750421,"Truck",0
"294",35,"College",114875.499825002,"Standard",0
"295",20,"College",57361.9701464996,"Standard",0
"296",25,"College",109897.105028055,"Standard",0
"297",18,"High School",42705.3766534334,"Standard",0
"298",25,"College",97005.1602432038,"Standard",0
"299",38,"High School",105875.691618689,"Truck",0
"300",47,"College",132786.402926125,"Truck",0
"301",21,"College",75454.9338282158,"Truck",0
"302",40,"College",134382.390112752,"Luxury",0
"303",30,"High School",83957.2474495974,"Truck",0
"304",32,"College",131685.055956107,"Luxury",0
"305",25,"College",113964.363276532,"Luxury",0
"306",20,"High School",64084.6389789201,"Truck",0
"307",18,"College",43453.6066753419,"Standard",0
"308",18,"College",45514.3522497963,"Standard",0
"309",33,"High School",80266.8859573859,"Standard",0
"310",22,"High School",67257.1550278662,"Truck",0
"311",22,"College",91224.9536556407,"Standard",0
"312",18,"High School",28607.4314631217,"Truck",0
"313",24,"College",91035.9792573497,"Truck",0
"314",19,"High School",54350.7511927816,"Truck",0
"315",24,"High School",76913.0467147137,"Truck",0
"316",21,"College",82129.9813997953,"Standard",0
"317",23,"High School",92363.7657169559,"Standard",0
"318",23,"College",94381.236472439,"Standard",1
"319",24,"High School",93622.1297568253,"Truck",0
"320",38,"College",124344.563695066,"Luxury",0
"321",19,"High School",70201.4088526248,"Truck",0
"322",24,"College",107521.911444763,"Truck",0
"323",23,"College",97016.1597724943,"Truck",0
"324",21,"College",79160.7184939104,"Truck",0
"325",31,"College",111594.928519688,"Truck",1
"326",21,"College",83570.098115723,"Standard",0
"327",19,"College",56155.9573253551,"Standard",0
"328",18,"High School",46334.1372535943,"Truck",0
"329",22,"College",91768.9996246006,"Standard",1
"330",20,"College",74021.8214293186,"Standard",1
"331",20,"College",60344.5586470204,"Truck",0
"332",28,"College",90437.9734324689,"Truck",0
"333",22,"College",87229.3166008225,"Standard",0
"334",29,"High School",83288.1725165528,"Truck",0
"335",19,"College",69238.0395132071,"Standard",0
"336",19,"High School",47842.7762770003,"Standard",0
"337",19,"College",64243.2471908496,"Truck",0
"338",18,"High School",47258.6627003712,"Standard",0
"339",41,"College",114478.941488942,"Truck",0
"340",25,"High School",66407.0286306857,"Truck",0
"341",27,"College",98215.9427376082,"Standard",0
"342",32,"High School",90357.4397913686,"Luxury",0
"343",19,"High School",58019.5977936886,"Truck",0
"344",23,"College",83804.5450957963,"Truck",0
"345",20,"High School",60611.7618902756,"Standard",0
"346",25,"College",92938.8738046868,"Luxury",0
"347",27,"College",122938.417761312,"Luxury",0
"348",18,"College",43831.1084849135,"Standard",0
"349",22,"College",91651.2008645986,"Truck",0
"350",20,"College",64648.2852746432,"Standard",0
"351",26,"College",85681.2756487095,"Truck",0
"352",23,"College",94291.4022051938,"Truck",0
"353",28,"College",92814.6741994498,"Standard",0
"354",37,"College",121934.598714545,"Standard",0
"355",22,"College",70242.3296216712,"Truck",0
"356",23,"College",94084.4321310245,"Standard",0
"357",19,"High School",41484.5736272825,"Standard",0
"358",34,"College",104684.116114907,"Standard",0
"359",24,"College",78804.5314774901,"Standard",2
"360",43,"College",124409.61990889,"Truck",0
"361",36,"College",109800.920119044,"Luxury",0
"362",19,"College",63053.2758197477,"Truck",0
"363",36,"College",127215.888582599,"Truck",0
"364",18,"College",43484.5872526804,"Truck",0
"365",22,"College",95696.4708479924,"Truck",0
"366",21,"High School",60979.7028371241,"Standard",0
"367",25,"High School",89119.4930569602,"Standard",0
"368",22,"College",92334.4527663974,"Luxury",0
"369",40,"College",119150.615952633,"Truck",0
"370",21,"College",93253.5889455566,"Standard",1
"371",22,"College",100785.276822141,"Standard",0
"372",18,"College",37582.8195735645,"Standard",0
"373",27,"College",113661.77333054,"Standard",0
"374",20,"High School",68762.9963336276,"Standard",0
"375",27,"High School",89100.1809374703,"Standard",1
"376",20,"College",70507.9198391121,"Truck",0
"377",25,"College",85712.3144123577,"Standard",0
"378",75,"College",137753.79860961,"Standard",0
"379",42,"High School",95901.4572504953,"Luxury",0
"380",31,"College",124714.85049682,"Truck",0
"381",21,"College",97095.5877309941,"Truck",0
"382",25,"College",105872.5929651,"Luxury",0
"383",21,"College",75375.776220379,"Standard",0
"384",22,"High School",61750.6736689302,"Standard",0
"385",23,"College",86576.50584538,"Standard",0
"386",18,"College",33899.3148194498,"Standard",0
"387",18,"College",36972.703282563,"Standard",0
"388",23,"College",86964.5471566082,"Luxury",1
"389",18,"College",32689.465762912,"Truck",0
"390",18,"College",56685.2002192769,"Standard",0
"391",28,"College",102573.690326283,"Truck",0
"392",19,"College",77088.9299129209,"Standard",0
"393",22,"High School",78675.2587824076,"Standard",0
"394",46,"College",130792.950096176,"Luxury",0
"395",18,"College",26929.0891378422,"Truck",0
"396",23,"High School",73576.5675911278,"Standard",0
"397",23,"College",83446.3131065352,"Truck",0
"398",36,"College",95199.7981333417,"Truck",0
"399",31,"College",108143.16885912,"Truck",0
"400",19,"College",61790.3417697381,"Standard",0
"401",24,"College",88877.3268017,"Truck",0
"402",22,"College",76139.2051108737,"Standard",0
"403",23,"College",63981.842355952,"Truck",0
"404",26,"High School",57240.4033944095,"Truck",0
"405",25,"High School",63724.4184196943,"Standard",0
"406",25,"College",96204.7300240497,"Luxury",0
"407",28,"College",107010.789333896,"Standard",0
"408",19,"College",58677.5487770253,"Standard",0
"409",26,"College",101806.903117648,"Luxury",0
"410",29,"High School",84661.5894066085,"Standard",0
"411",18,"College",41372.786569266,"Standard",0
"412",26,"High School",72291.2299406804,"Standard",0
"413",21,"High School",58933.5762169757,"Standard",0
"414",18,"College",43218.6235778237,"Standard",0
"415",19,"High School",61486.0804219992,"Truck",0
"416",29,"College",120581.166204696,"Luxury",0
"417",19,"High School",84869.4035034132,"Truck",0
"418",19,"College",64408.7341270207,"Truck",0
"419",22,"College",81857.3193284299,"Truck",0
"420",32,"College",108850.165616754,"Truck",1
"421",37,"High School",84720.9146015143,"Truck",0
"422",19,"College",60516.2647178127,"Truck",0
"423",20,"High School",70368.0760961842,"Truck",0
"424",42,"High School",67098.048316165,"Truck",0
"425",18,"College",48478.5105889243,"Truck",0
"426",37,"High School",84941.7370593641,"Standard",0
"427",26,"College",91070.0704694008,"Truck",0
"428",18,"College",40146.9033330429,"Standard",0
"429",34,"College",117712.652618838,"Truck",0
"430",20,"High School",71370.0745283614,"Standard",0
"431",20,"College",69384.8709338732,"Standard",0
"432",22,"College",83006.5963366141,"Truck",0
"433",24,"College",87724.1878372348,"Luxury",0
"434",22,"College",88822.1505634322,"Standard",1
"435",19,"College",76681.4555574154,"Truck",0
"436",20,"College",67065.2109759337,"Standard",0
"437",20,"College",68649.0225581125,"Standard",0
"438",21,"High School",49614.4945328719,"Truck",0
"439",18,"College",29112.6688837456,"Standard",0
"440",25,"College",112726.238455601,"Standard",0
"441",19,"High School",61386.0519222851,"Standard",0
"442",20,"High School",44754.7964924922,"Standard",0
"443",20,"High School",58188.8488400535,"Standard",0
"444",27,"College",110412.695678785,"Standard",0
"445",35,"College",128086.860851261,"Standard",0
"446",39,"College",131555.319244646,"Truck",0
"447",20,"High School",46450.9488259125,"Standard",0
"448",21,"High School",78002.6833037875,"Standard",0
"449",21,"College",63507.85158908,"Truck",0
"450",28,"College",98832.2449694844,"Standard",0
"451",43,"High School",107142.85521619,"Luxury",0
"452",18,"College",45627.8775273733,"Standard",0
"453",25,"College",87228.0089762921,"Standard",0
"454",21,"High School",71009.1779164077,"Standard",0
"455",23,"College",109166.470396882,"Truck",0
"456",29,"College",99025.7980374775,"Luxury",0
"457",24,"High School",76438.6284481379,"Standard",0
"458",21,"College",83568.2503906462,"Standard",0
"459",27,"High School",83297.5207604676,"Luxury",0
"460",28,"High School",68568.6403180244,"Standard",0
"461",28,"College",104623.469908463,"Truck",0
"462",22,"College",87630.355743894,"Truck",0
"463",24,"High School",69756.528049238,"Truck",0
"464",24,"College",75364.0912191107,"Standard",0
"465",22,"College",84934.2776741766,"Truck",0
"466",40,"College",117505.045884402,"Standard",0
"467",19,"High School",55731.6968787087,"Standard",0
"468",24,"College",95806.066472496,"Truck",0
"469",45,"High School",109702.891650448,"Standard",0
"470",19,"College",73658.9162679409,"Standard",0
"471",24,"High School",66737.3252141916,"Standard",0
"472",40,"College",136094.100721364,"Luxury",0
"473",21,"College",91230.5049514406,"Truck",0
"474",19,"College",79811.6208437491,"Standard",0
"475",21,"College",77917.5094776223,"Standard",0
"476",25,"College",94467.7077656207,"Standard",0
"477",19,"College",60203.5036094988,"Standard",0
"478",41,"College",120792.911365771,"Luxury",0
"479",33,"High School",76450.1808952892,"Standard",0
"480",36,"High School",89218.6511950623,"Truck",0
"481",25,"High School",79607.554760058,"Standard",0
"482",37,"College",96173.1787641394,"Standard",0
"483",20,"College",74077.0413967707,"Standard",0
"484",29,"College",125343.09257344,"Standard",0
"485",20,"High School",63075.5088190781,"Standard",0
"486",21,"College",82709.0955134053,"Standard",0
"487",19,"College",52777.038097832,"Standard",0
"488",23,"College",92242.4058834308,"Standard",0
"489",18,"College",45689.2172165121,"Truck",0
"490",19,"College",62745.0546397331,"Standard",0
"491",26,"College",100576.696612085,"Luxury",0
"492",19,"High School",53046.2121091412,"Truck",0
"493",20,"College",81983.6231244052,"Standard",0
"494",22,"College",89372.7143168134,"Standard",0
"495",22,"College",85874.5983831083,"Luxury",0
"496",38,"College",127202.246883019,"Luxury",0
"497",41,"College",125946.864228491,"Luxury",0
"498",21,"College",78204.7890504107,"Standard",0
"499",29,"High School",81881.9576324889,"Truck",1
"500",39,"College",112413.58796631,"Truck",0
"501",19,"High School",59337.9760734397,"Standard",0
"502",27,"College",105524.432130064,"Standard",0
"503",20,"College",59334.5150743707,"Standard",0
"504",18,"College",53065.8951181829,"Standard",1
"505",30,"College",99466.4453099859,"Standard",0
"506",27,"College",107405.217120308,"Truck",0
"507",41,"College",120306.786378574,"Standard",0
"508",19,"High School",51780.3870002752,"Standard",0
"509",19,"High School",50919.0385602649,"Truck",0
"510",18,"High School",34792.521621073,"Standard",1
"511",20,"College",82098.3511897724,"Truck",0
"512",22,"High School",85533.0518946552,"Truck",0
"513",19,"High School",52922.5395938103,"Standard",0
"514",22,"High School",73918.1608974562,"Truck",0
"515",27,"College",104679.746937946,"Standard",0
"516",28,"College",98215.706898762,"Truck",0
"517",21,"College",68252.2970882997,"Standard",0
"518",21,"High School",88056.8612398331,"Standard",0
"519",28,"College",103541.557646005,"Standard",0
"520",24,"College",86877.9322422588,"Standard",1
"521",21,"College",79018.4101531064,"Standard",0
"522",21,"High School",78467.1571779965,"Standard",0
"523",20,"College",85230.0010636166,"Standard",0
"524",24,"College",92798.4942992494,"Truck",0
"525",33,"High School",79133.3066507302,"Standard",0
"526",18,"College",36530.8290841656,"Truck",0
"527",38,"High School",101421.453394111,"Truck",0
"528",22,"College",93412.4183866612,"Standard",0
"529",21,"College",74672.8408027683,"Standard",0
"530",25,"College",89014.3145547357,"Truck",0
"531",25,"High School",67593.002638837,"Standard",0
"532",22,"College",77874.6303310839,"Truck",0
"533",26,"High School",80397.4883450557,"Standard",0
"534",19,"College",63547.0521359429,"Truck",0
"535",80,"High School",125032.181010187,"Truck",0
"536",27,"College",109043.988603952,"Standard",0
"537",18,"College",45197.161057391,"Standard",0
"538",19,"College",62609.1135839568,"Truck",0
"539",18,"College",39176.564202448,"Standard",0
"540",19,"High School",65303.2168666917,"Truck",0
"541",18,"High School",51745.8972431774,"Standard",0
"542",28,"College",103020.127155986,"Standard",0
"543",29,"College",90354.6544351249,"Standard",0
"544",21,"College",79201.5257578685,"Standard",0
"545",18,"High School",46974.9952981084,"Standard",0
"546",47,"College",136533.686828578,"Standard",0
"547",24,"High School",73303.4407399627,"Standard",0
"548",23,"College",81737.6061269984,"Truck",0
"549",27,"College",113940.7812355,"Standard",0
"550",30,"College",95280.6708225834,"Standard",0
"551",28,"High School",56423.4713902945,"Truck",0
"552",24,"College",89826.2916315388,"Truck",0
"553",22,"College",88846.4965158975,"Standard",0
"554",21,"College",88114.0485847971,"Truck",0
"555",22,"College",83510.1756515272,"Standard",0
"556",22,"College",80020.4204810256,"Standard",0
"557",20,"College",97098.4357972836,"Luxury",0
"558",22,"High School",53046.7913861714,"Standard",0
"559",21,"College",73855.0151097175,"Truck",0
"560",20,"College",101211.375269618,"Truck",0
"561",18,"High School",45408.5692481552,"Truck",0
"562",34,"College",124190.280761188,"Luxury",0
"563",19,"High School",61268.8530793672,"Truck",0
"564",19,"College",60527.2668967479,"Standard",0
"565",25,"High School",73240.8973376392,"Truck",0
"566",21,"College",74722.6659293118,"Truck",0
"567",52,"College",129024.300346132,"Luxury",0
"568",29,"High School",74508.7826134641,"Standard",0
"569",23,"College",87892.6465164012,"Standard",0
"570",38,"High School",91491.2537840161,"Standard",1
"571",26,"College",88955.9685192426,"Standard",0
"572",24,"College",89585.0734942858,"Standard",0
"573",29,"College",129606.940963798,"Standard",0
"574",26,"College",96639.2796822809,"Standard",1
"575",19,"College",37125.7929936461,"Truck",0
"576",26,"High School",82936.4518366785,"Standard",0
"577",28,"High School",76002.3698836642,"Standard",0
"578",24,"College",86392.242661456,"Standard",0
"579",24,"College",95269.0726892494,"Luxury",0
"580",20,"High School",66560.5625646519,"Truck",0
"581",29,"College",125853.056668839,"Luxury",0
"582",22,"College",99202.3806410185,"Truck",0
"583",39,"High School",88064.5465250373,"Standard",0
"584",29,"High School",87768.719821886,"Luxury",0
"585",26,"College",85068.9790938802,"Standard",1
"586",20,"High School",77622.5737863752,"Truck",0
"587",22,"College",87046.9730341947,"Standard",0
"588",18,"College",42008.4041885518,"Standard",0
"589",33,"College",106950.197562213,"Luxury",0
"590",20,"High School",61153.9909232708,"Standard",0
"591",44,"College",129169.792664328,"Luxury",0
"592",22,"High School",82346.0791706121,"Truck",0
"593",24,"College",108369.329131539,"Luxury",1
"594",24,"College",100577.430180152,"Truck",0
"595",19,"College",72392.8009597703,"Standard",0
"596",35,"College",117770.222075861,"Standard",0
"597",29,"College",105180.398883306,"Standard",0
"598",21,"High School",55122.3570944521,"Standard",0
"599",19,"College",55298.1007470895,"Standard",0
"600",18,"College",34818.7870561352,"Standard",0
"601",20,"College",72648.3584106556,"Truck",0
"602",19,"College",45712.2550894911,"Truck",0
"603",20,"High School",68686.1242643531,"Standard",1
